Planet_Name,SNR_Emission_15_micron,SNR_Emission_5_micron,SNR_Transmission_K_mag,Rp,Mp,Tday,Teq,log10g_p,Period,Transit_Duration,K_mag,Distance,Teff,log10g_s,Transit_Flag,Catalog_Name
WASP-62 b,0.207,0.241,0.342,1.32,0.52,1658,1394,2.869,4.412,3.816,8.9,175.63,6230,4.45,TRUE,nexsci
WASP-63 b,0.219,0.174,0.303,1.41,0.37,1815,1526,2.664,4.3781,5.3901,9.4,290.68,5715,4.01,TRUE,nexsci
WASP-66 b,0.208,0.111,0.031,1.4,2.35,2149,1807,3.473,4.0861,4.5024,10.5,500.26,6600,4.3,TRUE,nexsci
WASP-67 b,0.024,0.091,0.162,1.15,0.43,1229,1034,2.906,4.6144,1.896,10.1,189.47,5200,4.35,TRUE,nexsci
WASP-68 b,0.211,0.17,0.099,1.32,1.08,1820,1531,3.186,5.0843,5.136,8.9,226.4,5910,4.17,TRUE,nexsci
WASP-69 b,0.075,0.33,0.788,1.11,0.29,1175,988,2.766,3.8681,2.161,7.5,49.96,4700,4.5,TRUE,nexsci
WASP-75 b,0.231,0.137,0.072,1.27,1.07,2028,1705,3.216,2.4842,1.886,10.1,294,6100,4.29,TRUE,nexsci
WASP-6 b,0.041,0.123,0.221,1.03,0.37,1300,1093,2.937,3.361,2.5765,10.3,197.12,5450,4.6,TRUE,nexsci
WASP-70 A b,0.133,0.146,0.146,1.16,0.59,1657,1393,3.033,3.713,3.3336,9.6,222.35,5763,4.31,TRUE,nexsci
WASP-71 b,0.309,0.149,0.053,1.18,1.39,2177,1831,3.393,2.9037,5.0153,9.3,362.71,6050,3.9,TRUE,nexsci
WASP-72 b,0.462,0.134,0.028,1.29,2.3,2747,2310,3.535,2.2167,3.7392,9.6,434.75,6250,4.09,TRUE,nexsci
WASP-73 b,0.386,0.153,0.03,1.42,2.86,2352,1978,3.546,4.0872,5.5861,9,316.68,6030,3.93,TRUE,nexsci
WASP-74 b,0.818,0.379,0.292,1.36,0.72,2206,1855,2.984,2.1378,2.292,8.2,149.22,5990,4.39,TRUE,nexsci
WASP-76 b,2.26,0.736,0.559,1.83,0.92,2595,2182,2.833,1.8099,3.7637,8.2,194.46,6250,4.13,TRUE,nexsci
